company,line,model,size,family,construction,material1,material2,thickness,bearingEdge,hoop,lugs,confidence,missing,id
A&F Drum Co.,Raw Brass / Raw Steel / Wood,Raw Brass 14x6.5,14x6.5,metal,Metal,Brass,,MISSING,MISSING,unknown,,medium,"shellThickness, bearingEdgeOrFallback",aandf-drum-co_raw-brass-raw-steel-wood_raw-brass-14x6-5_14x6-5_metal_brass_de54835c
A&F Drum Co.,Raw Brass / Raw Steel / Wood,Raw Steel 14x6.5,14x6.5,metal,Metal,Steel,,MISSING,MISSING,unknown,,medium,"shellThickness, bearingEdgeOrFallback",aandf-drum-co_raw-brass-raw-steel-wood_raw-steel-14x6-5_14x6-5_metal_steel_3463c569
A&F Drum Co.,Raw Brass / Raw Steel / Wood,Maple Club Snare,14x6.5,wood,Ply,Maple,,MISSING,MISSING,unknown,,medium,"shellThickness, bearingEdgeOrFallback",aandf-drum-co_raw-brass-raw-steel-wood_maple-club-snare_14x6-5_ply_maple_ed5ed165
Brady Drum Company,Block Shell / Stave-Style,Jarrah Block Snare 12x5,12x5,unknown,Block,Jarrah,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_jarrah-block-snare-12x5_12x5_block_jarrah_unknown-likely-brady-style-45-famil_8267b6f6
Brady Drum Company,Block Shell / Stave-Style,Jarrah Block Snare 12x7,12x7,unknown,Block,Jarrah,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_jarrah-block-snare-12x7_12x7_block_jarrah_unknown-likely-brady-style-45-famil_03553a4e
Brady Drum Company,Block Shell / Stave-Style,Jarrah Block Snare 13x5.5,13x5.5,unknown,Block,Jarrah,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_jarrah-block-snare-13x5-5_13x5-5_block_jarrah_unknown-likely-brady-style-45-f_e8fbd6dc
Brady Drum Company,Block Shell / Stave-Style,Jarrah Block Snare 13x7,13x7,unknown,Block,Jarrah,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_jarrah-block-snare-13x7_13x7_block_jarrah_unknown-likely-brady-style-45-famil_fb297460
Brady Drum Company,Block Shell / Stave-Style,Jarrah Block Snare 14x5.5,14x5.5,unknown,Block,Jarrah,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_jarrah-block-snare-14x5-5_14x5-5_block_jarrah_unknown-likely-brady-style-45-f_575a3776
Brady Drum Company,Block Shell / Stave-Style,Jarrah Block Snare 14x6.5,14x6.5,unknown,Block,Jarrah,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_jarrah-block-snare-14x6-5_14x6-5_block_jarrah_unknown-likely-brady-style-45-f_90e38a75
Brady Drum Company,Block Shell / Stave-Style,Jarrah Block Snare 14x7,14x7,unknown,Block,Jarrah,,MISSING,MISSING,2.3mm Super Hoop / rigid triple-flange style,10,medium,"shellThickness, bearingEdgeOrFallback",brady-drum-company_block-shell-stave-style_jarrah-block-snare-14x7_14x7_block_jarrah_unknown-likely-brady-style-45-famil_44f82325
