label,signature,size,depth,lugs,staveOption,hoopType,hardwareColor,scorchDepth,movement,spread,firstHit,firstHitScore,underTheHands,underTheHandsScore,fromTheBench,fromTheBenchScore,digest,attack,brightness,projection,sustain,warmth,sensitivity,control,attackDelta,brightnessDelta,projectionDelta,sustainDelta,warmthDelta,sensitivityDelta,controlDelta,playingSituation,feelReadText,highlightedCharacteristics
12x5.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Triple Flange • Chrome • Light Torch,12|5.0|6|12 - 8mm + $150 (Re-Rings Required)|Triple Flange|Chrome|Light Torch,12,5.0,6,12 - 8mm + $150 (Re-Rings Required),Triple Flange,Chrome,Light Torch,2.94,1.38,"Compact, quick, lean response",2.2445,"Expressive, blooming response",0.1279,"Wide, open Heritage bloom",0.0057,simple:compact-quick-lean-response > shaped:expressive-blooming-response > complex:wide-open-heritage-bloom,4.89,5.44,4.75,5.43,4.67,5.8,4.42,-0.11,0.44,-0.25,0.43,-0.33,0.8,-0.58,"A more open Heritage read, where the lighter torch treatment preserves extra liveliness, touch response, and a slightly freer bloom through the shell.","A cleaner, classic Heritage presentation with a lighter TorchTuned imprint that preserves more openness, touch response, and a slightly freer shell reaction, while keeping the shell-first balance intact.",Noticeably shifted away from the benchmark Heritage center; the lighter TorchTune finish preserves more touch response and a freer shell reaction; the deeper 12-inch re-ring shell keeps studio warmth and balance; Triple Flange hoops preserve more of the line’s native openness.
12x5.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Triple Flange • Chrome • Medium Torch,12|5.0|6|12 - 8mm + $150 (Re-Rings Required)|Triple Flange|Chrome|Medium Torch,12,5.0,6,12 - 8mm + $150 (Re-Rings Required),Triple Flange,Chrome,Medium Torch,1.95,0.92,"Compact, quick, lean response",1.9785,"Expressive, blooming response",0.863,"Wide, open Heritage bloom",0.6655,simple:compact-quick-lean-response > shaped:expressive-blooming-response > complex:wide-open-heritage-bloom,5.07,5.26,4.64,5.17,4.75,5.56,4.72,0.07,0.26,-0.36,0.17,-0.25,0.56,-0.28,A touch-friendly Heritage read that stays expressive under lighter hands while keeping its shell identity.,"A seasoned, classic Heritage presentation with a balanced TorchTuned posture, while keeping the shell-first balance intact.",Noticeably shifted away from the benchmark Heritage center; the deeper 12-inch re-ring shell keeps studio warmth and balance; Triple Flange hoops preserve more of the line’s native openness.
12x5.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Triple Flange • Chrome • Blackened,12|5.0|6|12 - 8mm + $150 (Re-Rings Required)|Triple Flange|Chrome|Blackened,12,5.0,6,12 - 8mm + $150 (Re-Rings Required),Triple Flange,Chrome,Blackened,1.4,0.79,"Compact, quick, lean response",1.901,"Fast, disciplined touch response",0.6664,Shorter note with firm response,0.9943,simple:compact-quick-lean-response > shaped:fast-disciplined-touch-response > complex:shorter-note-firm-response,5.25,5.08,4.53,4.91,4.83,5.32,5.02,0.25,0.08,-0.47,-0.09,-0.17,0.32,0.02,"A compact, TorchTuned Heritage read: still lively from the smaller shell, but darker and more settled than the same build in a lighter finish.","A darker, classic Heritage presentation with a stronger TorchTuned imprint that favors firmer note control, slightly lower sensitivity, and a more unified shell response under heavier treatment, while keeping the shell-first balance intact.",Close to the benchmark Heritage warmth posture; the deeper 12-inch re-ring shell keeps studio warmth and balance; Triple Flange hoops preserve more of the line’s native openness.
12x5.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Triple Flange • Black Nickel • Light Torch,12|5.0|6|12 - 8mm + $150 (Re-Rings Required)|Triple Flange|Black Nickel|Light Torch,12,5.0,6,12 - 8mm + $150 (Re-Rings Required),Triple Flange,Black Nickel,Light Torch,2.94,1.38,"Compact, quick, lean response",2.2445,"Expressive, blooming response",0.1279,"Wide, open Heritage bloom",0.0057,simple:compact-quick-lean-response > shaped:expressive-blooming-response > complex:wide-open-heritage-bloom,4.89,5.44,4.75,5.43,4.67,5.8,4.42,-0.11,0.44,-0.25,0.43,-0.33,0.8,-0.58,"A more open Heritage read, where the lighter torch treatment preserves extra liveliness, touch response, and a slightly freer bloom through the shell.","A cleaner, slightly more modern Heritage presentation with a lighter TorchTuned imprint that preserves more openness, touch response, and a slightly freer shell reaction, while keeping the shell-first balance intact.",Noticeably shifted away from the benchmark Heritage center; the lighter TorchTune finish preserves more touch response and a freer shell reaction; the deeper 12-inch re-ring shell keeps studio warmth and balance; Triple Flange hoops preserve more of the line’s native openness.
12x5.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Triple Flange • Black Nickel • Medium Torch,12|5.0|6|12 - 8mm + $150 (Re-Rings Required)|Triple Flange|Black Nickel|Medium Torch,12,5.0,6,12 - 8mm + $150 (Re-Rings Required),Triple Flange,Black Nickel,Medium Torch,1.95,0.92,"Compact, quick, lean response",1.9785,"Expressive, blooming response",0.863,"Wide, open Heritage bloom",0.6655,simple:compact-quick-lean-response > shaped:expressive-blooming-response > complex:wide-open-heritage-bloom,5.07,5.26,4.64,5.17,4.75,5.56,4.72,0.07,0.26,-0.36,0.17,-0.25,0.56,-0.28,A touch-friendly Heritage read that stays expressive under lighter hands while keeping its shell identity.,"A seasoned, slightly more modern Heritage presentation with a balanced TorchTuned posture, while keeping the shell-first balance intact.",Noticeably shifted away from the benchmark Heritage center; the deeper 12-inch re-ring shell keeps studio warmth and balance; Triple Flange hoops preserve more of the line’s native openness.
12x5.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Triple Flange • Black Nickel • Blackened,12|5.0|6|12 - 8mm + $150 (Re-Rings Required)|Triple Flange|Black Nickel|Blackened,12,5.0,6,12 - 8mm + $150 (Re-Rings Required),Triple Flange,Black Nickel,Blackened,1.4,0.79,"Compact, quick, lean response",1.901,"Fast, disciplined touch response",0.6664,Shorter note with firm response,0.9943,simple:compact-quick-lean-response > shaped:fast-disciplined-touch-response > complex:shorter-note-firm-response,5.25,5.08,4.53,4.91,4.83,5.32,5.02,0.25,0.08,-0.47,-0.09,-0.17,0.32,0.02,"A compact, TorchTuned Heritage read: still lively from the smaller shell, but darker and more settled than the same build in a lighter finish.","A darker, slightly more modern Heritage presentation with a stronger TorchTuned imprint that favors firmer note control, slightly lower sensitivity, and a more unified shell response under heavier treatment, while keeping the shell-first balance intact.",Close to the benchmark Heritage warmth posture; the deeper 12-inch re-ring shell keeps studio warmth and balance; Triple Flange hoops preserve more of the line’s native openness.
12x5.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Triple Flange • Brass/Gold • Light Torch,12|5.0|6|12 - 8mm + $150 (Re-Rings Required)|Triple Flange|Brass/Gold|Light Torch,12,5.0,6,12 - 8mm + $150 (Re-Rings Required),Triple Flange,Brass/Gold,Light Torch,2.94,1.38,"Compact, quick, lean response",2.2445,"Expressive, blooming response",0.1279,"Wide, open Heritage bloom",0.0057,simple:compact-quick-lean-response > shaped:expressive-blooming-response > complex:wide-open-heritage-bloom,4.89,5.44,4.75,5.43,4.67,5.8,4.42,-0.11,0.44,-0.25,0.43,-0.33,0.8,-0.58,"A more open Heritage read, where the lighter torch treatment preserves extra liveliness, touch response, and a slightly freer bloom through the shell.","A cleaner, richer Heritage presentation with a lighter TorchTuned imprint that preserves more openness, touch response, and a slightly freer shell reaction, while keeping the shell-first balance intact.",Noticeably shifted away from the benchmark Heritage center; the lighter TorchTune finish preserves more touch response and a freer shell reaction; the deeper 12-inch re-ring shell keeps studio warmth and balance; Triple Flange hoops preserve more of the line’s native openness.
12x5.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Triple Flange • Brass/Gold • Medium Torch,12|5.0|6|12 - 8mm + $150 (Re-Rings Required)|Triple Flange|Brass/Gold|Medium Torch,12,5.0,6,12 - 8mm + $150 (Re-Rings Required),Triple Flange,Brass/Gold,Medium Torch,1.95,0.92,"Compact, quick, lean response",1.9785,"Expressive, blooming response",0.863,"Wide, open Heritage bloom",0.6655,simple:compact-quick-lean-response > shaped:expressive-blooming-response > complex:wide-open-heritage-bloom,5.07,5.26,4.64,5.17,4.75,5.56,4.72,0.07,0.26,-0.36,0.17,-0.25,0.56,-0.28,A touch-friendly Heritage read that stays expressive under lighter hands while keeping its shell identity.,"A seasoned, richer Heritage presentation with a balanced TorchTuned posture, while keeping the shell-first balance intact.",Noticeably shifted away from the benchmark Heritage center; the deeper 12-inch re-ring shell keeps studio warmth and balance; Triple Flange hoops preserve more of the line’s native openness.
12x5.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Triple Flange • Brass/Gold • Blackened,12|5.0|6|12 - 8mm + $150 (Re-Rings Required)|Triple Flange|Brass/Gold|Blackened,12,5.0,6,12 - 8mm + $150 (Re-Rings Required),Triple Flange,Brass/Gold,Blackened,1.4,0.79,"Compact, quick, lean response",1.901,"Fast, disciplined touch response",0.6664,Shorter note with firm response,0.9943,simple:compact-quick-lean-response > shaped:fast-disciplined-touch-response > complex:shorter-note-firm-response,5.25,5.08,4.53,4.91,4.83,5.32,5.02,0.25,0.08,-0.47,-0.09,-0.17,0.32,0.02,"A compact, TorchTuned Heritage read: still lively from the smaller shell, but darker and more settled than the same build in a lighter finish.","A darker, richer Heritage presentation with a stronger TorchTuned imprint that favors firmer note control, slightly lower sensitivity, and a more unified shell response under heavier treatment, while keeping the shell-first balance intact.",Close to the benchmark Heritage warmth posture; the deeper 12-inch re-ring shell keeps studio warmth and balance; Triple Flange hoops preserve more of the line’s native openness.
12x5.0 • 6 lugs • 12 - 8mm + $150 (Re-Rings Required) • Die-Cast • Chrome • Light Torch,12|5.0|6|12 - 8mm + $150 (Re-Rings Required)|Die-Cast|Chrome|Light Torch,12,5.0,6,12 - 8mm + $150 (Re-Rings Required),Die-Cast,Chrome,Light Torch,2.34,1.2,"Compact, quick, lean response",2.817,"Fast, disciplined touch response",1.413,Shorter note with firm response,1.053,simple:compact-quick-lean-response > shaped:fast-disciplined-touch-response > complex:shorter-note-firm-response,5.23,5.67,4.94,5.13,4.47,5.56,4.84,0.23,0.67,-0.06,0.13,-0.53,0.56,-0.16,"A focused-but-open Heritage read: the die-cast hoops tighten the rim response, while the lighter TorchTune finish keeps more touch, air, and upper-shell liveliness in the voice.","A cleaner, classic Heritage presentation with a lighter TorchTuned imprint that preserves more openness, touch response, and a slightly freer shell reaction, while keeping the shell-first balance intact.",Leaner and more controlled through the center than the benchmark Heritage build; Light Torch keeps more touch and liveliness while the die-cast hoops add rim focus; the deeper 12-inch re-ring shell keeps studio warmth and balance; Die-Cast hoops add focus and containment.
